Geneid	1AS	1AW	1BS	1BW	1CS	1CW	1DS	1DW	2AS	2AW	2BS	2BW	2CS	2CW	2DS	2DW	3AS	3AW	3BS	3BW	3CS	3CW	3DS	3DW
evm.model.scf7180000350657.3	19	87	23	0	0	0	0	0	190	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345827.1	0	6	4	0	0	0	0	0	17	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345827.2	7	33	11	0	0	0	0	0	83	0	0	0	0	23	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000345827.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356798.2	9	93	27	0	0	0	0	0	245	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356798.1	21	141	33	0	0	0	0	0	311	0	0	0	0	144	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000355961.1	48	318	80	0	0	0	0	0	703	0	0	0	0	262	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000355961.3	4	34	8	0	0	0	0	0	77	0	0	0	0	111	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000355961.2	6	28	11	0	0	0	0	0	53	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354098.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000354098.2	19	106	42	0	0	0	0	0	264	0	0	0	0	145	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000354098.3	45	182	59	0	0	0	0	0	448	0	0	0	0	300	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000355494.7	11	56	26	0	0	0	0	0	14	0	0	0	0	73	0	0	0	0	0	0	0	0	2	0
evm.model.scf7180000355494.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355494.4	114	893	254	0	0	0	0	0	1672	0	0	0	0	1062	0	0	0	0	0	0	0	0	36	0
evm.model.scf7180000355494.2	0	50	4	0	0	0	0	0	102	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355494.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000355494.3	122	896	288	0	0	0	0	0	2281	0	0	0	0	1059	0	0	0	0	0	0	0	0	19	0
evm.model.scf7180000355494.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345268.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345268.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000345268.5	6	113	18	0	0	0	0	0	148	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000356394.1	69	535	130	0	0	0	0	0	963	0	0	0	0	466	0	0	0	0	0	0	0	0	11	0
