Geneid	1AS	1AW	1BS	1BW	1CS	1CW	1DS	1DW	2AS	2AW	2BS	2BW	2CS	2CW	2DS	2DW	3AS	3AW	3BS	3BW	3CS	3CW	3DS	3DW
evm.model.scf7180000348506.5	3	10	7	0	0	0	0	0	41	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000348506.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000348506.7	37	378	69	0	0	0	0	0	776	0	0	0	0	268	0	0	0	0	0	0	0	0	18	0
evm.model.scf7180000348506.6	3	20	7	0	0	0	0	0	63	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000348506.10	34	248	78	0	0	0	0	0	570	0	0	0	0	329	0	0	0	0	0	0	0	0	6	0
evm.model.scf7180000348506.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000348477.2	1	15	4	0	0	0	0	0	21	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000348477.1	10	142	26	0	0	0	0	0	214	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000347704.4	12	66	25	0	0	0	0	0	154	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000347704.5	17	66	20	0	0	0	0	0	121	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000347704.1	7	35	10	0	0	0	0	0	105	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000347704.3	49	405	106	0	0	0	0	0	792	0	0	0	0	583	0	0	0	0	0	0	0	0	3	0
evm.model.scf7180000346568.1	2	12	2	0	0	0	0	0	21	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
evm.model.scf7180000346568.2	6	30	16	0	0	0	0	0	96	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000354113.1	3	16	3	0	0	0	0	0	56	0	0	0	0	19	0	0	0	0	0	0	0	0	1	0
evm.model.scf7180000354113.2	31	254	90	0	0	0	0	0	650	0	0	0	0	200	0	0	0	0	0	0	0	0	5	0
evm.model.scf7180000354113.8	13	96	30	0	0	0	0	0	239	0	0	0	0	145	0	0	0	0	0	0	0	0	4	0
