Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
3AW_R1	3AW_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55773556.0	8.2 Gbp	0.0	50-150	47.0	84.69547939737379	148.56331907544143	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
3AW_R1_001	3AW_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56911890.0	8.5 Gbp	0.0	150.0	47.0	84.42964481311749	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
3AW_R2	3AW_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55773556.0	8.2 Gbp	0.0	50-150	47.0	83.78577137709809	148.4822048104661	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	fail	pass
3AW_R2_001	3AW_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56911890.0	8.5 Gbp	0.0	150.0	47.0	83.35720499007884	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	pass	fail	pass
3BS_R1	3BS_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53177277.0	7.9 Gbp	0.0	50-150	47.0	85.17331328624697	148.57759491897264	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
3BS_R1_001	3BS_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54240957.0	8.1 Gbp	0.0	150.0	47.0	84.89859888443459	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
3BS_R2	3BS_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53177277.0	7.8 Gbp	0.0	50-150	48.0	84.31158950109823	148.48612261586842	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
3BS_R2_001	3BS_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54240957.0	8.1 Gbp	0.0	150.0	48.0	83.86032174154577	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	pass	fail	pass
3BW_R1	3BW_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54895066.0	8.1 Gbp	0.0	50-150	45.0	83.26895847693501	148.3768594248525	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
3BW_R1_001	3BW_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56229134.0	8.4 Gbp	0.0	150.0	45.0	82.97781478374793	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
3BW_R2	3BW_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54895066.0	8.1 Gbp	0.0	50-150	46.0	82.30621178589914	148.29660325028118	150	pass	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
3BW_R2_001	3BW_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56229134.0	8.4 Gbp	0.0	150.0	46.0	81.87888209930867	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	pass	fail	pass
3CS_R1	3CS_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57196082.0	8.4 Gbp	0.0	50-150	46.0	83.6761208872154	148.39249310818178	150	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
