ID,Description,GeneRatio,BgRatio,pvalue,OddsRatio,Count,TermSize,GeneIDs,p.adjust
ko04924,ko04924,3/137,83/5653,0.3264300888751599,1.5211022789632722,3,83,Montipora_capitata_HIv3___RNAseq.g2796.t1/Montipora_capitata_HIv3___RNAseq.g47210.t1/Montipora_capitata_HIv3___RNAseq.g47211.t1,0.56742197699899
ko04722,ko04722,5/137,157/5653,0.33200222058451545,1.3366425260837154,5,157,Montipora_capitata_HIv3___RNAseq.g8395.t2a/Montipora_capitata_HIv3___RNAseq.g18203.t1/Montipora_capitata_HIv3___RNAseq.g44960.t2/Montipora_capitata_HIv3___RNAseq.21467_t/Montipora_capitata_HIv3___RNAseq.g26644.t1,0.56742197699899
ko00230,ko00230,6/137,199/5653,0.35191562353237915,1.263160675904047,6,199,Montipora_capitata_HIv3___RNAseq.g2796.t1/Montipora_capitata_HIv3___RNAseq.g47210.t1/Montipora_capitata_HIv3___RNAseq.g47211.t1/Montipora_capitata_HIv3___TS.g4674.t2b/Montipora_capitata_HIv3___RNAseq.g20763.t1/Montipora_capitata_HIv3___RNAseq.g30392.t1,0.5907155109293507
ko01230,ko01230,3/137,89/5653,0.36650172283869964,1.4134485504176628,3,89,Montipora_capitata_HIv3___RNAseq.g30230.t1/Montipora_capitata_HIv3___RNAseq.g27709.t1/Montipora_capitata_HIv3___RNAseq.g14488.t1,0.6044063499445222
ko04931,ko04931,3/137,90/5653,0.3731524066898757,1.3969500572286888,3,90,Montipora_capitata_HIv3___RNAseq.g46820.t1/Montipora_capitata_HIv3___RNAseq.g46819.t1/Montipora_capitata_HIv3___RNAseq.g47938.t1,0.604764245324971
ko05418,ko05418,4/137,130/5653,0.387182742586308,1.2864834283858684,4,130,Montipora_capitata_HIv3___RNAseq.g29851.t1/Montipora_capitata_HIv3___RNAseq.g15043.t1/Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___TS.g46166.t1,0.616867420391745
ko04550,ko04550,5/137,170/5653,0.3951365335261977,1.2283698151342715,5,170,Montipora_capitata_HIv3___RNAseq.g35008.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g28116.t1/Montipora_capitata_HIv3___TS.g10359.t4b/Montipora_capitata_HIv3___TS.g46192.t3,0.6190472358577097
ko04530,ko04530,4/137,133/5653,0.40377992850243927,1.2558724299668524,4,133,Montipora_capitata_HIv3___RNAseq.g47938.t1/Montipora_capitata_HIv3___TS.g4674.t2b/Montipora_capitata_HIv3___RNAseq.g13826.t1/Montipora_capitata_HIv3___TS.g21895.t1,0.6222182504791687
ko04750,ko04750,3/137,97/5653,0.4192622567837805,1.2912945532870423,3,97,Montipora_capitata_HIv3___RNAseq.g24095.t1/Montipora_capitata_HIv3___RNAseq.g47938.t1/Montipora_capitata_HIv3___RNAseq.g23464.t1,0.6356556796399252
ko00330,ko00330,3/137,100/5653,0.4387029339808094,1.2506739825083715,3,100,Montipora_capitata_HIv3___RNAseq.g9918.t1/Montipora_capitata_HIv3___RNAseq.24234_t/Montipora_capitata_HIv3___RNAseq.g14488.t1,0.6545726316539061
ko05225,ko05225,4/137,145/5653,0.46914154110275785,1.1464526699556867,4,145,Montipora_capitata_HIv3___RNAseq.g34092.t1/Montipora_capitata_HIv3___RNAseq.g35008.t1/Montipora_capitata_HIv3___RNAseq.g47938.t1/Montipora_capitata_HIv3___TS.g10359.t4b,0.6890516384946755
ko04916,ko04916,3/137,107/5653,0.48305932204059776,1.165005058352127,3,107,Montipora_capitata_HIv3___RNAseq.g35008.t1/Montipora_capitata_HIv3___RNAseq.g47938.t1/Montipora_capitata_HIv3___TS.g10359.t4b,0.6909142758771647
ko05224,ko05224,4/137,148/5653,0.48511002348822196,1.1219467653194644,4,148,Montipora_capitata_HIv3___RNAseq.g35008.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g28116.t1/Montipora_capitata_HIv3___TS.g10359.t4b,0.6909142758771647
ko04915,ko04915,3/137,109/5653,0.4954347616442498,1.1426061458788053,3,109,Montipora_capitata_HIv3___RNAseq.g15043.t1/Montipora_capitata_HIv3___TS.g4543.t1/Montipora_capitata_HIv3___RNAseq.g50166.t1,0.6950875760382013
ko05215,ko05215,3/137,111/5653,0.5076638780534644,1.121036674853886,3,111,Montipora_capitata_HIv3___RNAseq.g15043.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g28116.t1,0.7017706549562596
ko04520,ko04520,3/137,114/5653,0.5257188692560163,1.09012756364783,3,114,Montipora_capitata_HIv3___RNAseq.g27716.t1/Montipora_capitata_HIv3___RNAseq.g8971.t1/Montipora_capitata_HIv3___RNAseq.g28116.t1,0.7038842216386881
