"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-461 0.176484381997751 2 35 "GO:0002698;GO:0050687" "negative regulation of immune effector process" 0.608942117300062
185 0.405950725368744 2 83 "GO:0002699" "positive regulation of immune effector process" 0.796844312221661
157 0.609186809148709 5 43 "GO:0002700;GO:0002702" "regulation of production of molecular mediator of immune response" 0.888097110036258
373 0.204485405375814 2 47 "GO:0002703;GO:0002705;GO:0002706;GO:0002822;GO:0002819;GO:0002708;GO:0002824;GO:0002821" "regulation of leukocyte mediated immunity" 0.63724653412489
249 0.545432711065409 8 24 "GO:0002709;GO:0002711" "positive regulation of T cell mediated immunity" 0.859970218081256
1459 0.0162022211742141 5 11 "GO:0002712;GO:0002714;GO:0002889;GO:0002891" "regulation of immunoglobulin mediated immune response" 0.257594213132649
379 0.450914478572748 4 16 "GO:0002718;GO:0002720" "positive regulation of cytokine production involved in immune response" 0.823216344999083
371 0.541010831941175 5 11 "GO:0002724;GO:0002726" "regulation of T cell cytokine production" 0.85932940316226
589 0.143725132178244 4 25 "GO:0002753" "cytoplasmic pattern recognition receptor signaling pathway" 0.572039619465774
54 0.931969994075159 2 10 "GO:0002761" "regulation of myeloid leukocyte differentiation" 0.982722030390413
-999 0.0856299192276514 2 12 "GO:0002786;GO:0002803" "regulation of antibacterial peptide production" 0.484715381028869
499 0.0237571663825956 4 84 "GO:0002790;GO:0009306;GO:0035592;GO:0071692" "establishment of protein localization to extracellular region" 0.289485215426686
-309 0.0691187279328522 2 143 "GO:0002791;GO:0050708" "regulation of peptide secretion" 0.452416304340248
-318 0.307697583011687 2 42 "GO:0002792;GO:0050709" "negative regulation of peptide secretion" 0.730729993572169
-22 0.923371998117942 6 77 "GO:0002793;GO:0050714" "positive regulation of peptide secretion" 0.980710546641564
-95 0.686870006457993 2 74 "GO:0002832" "negative regulation of response to biotic stimulus" 0.915971563382801
-444 0.261258778281359 2 26 "GO:0002920;GO:0002759;GO:0002784" "regulation of humoral immune response" 0.691256933188236
-515 0.264739646513037 2 19 "GO:0002922;GO:0002225;GO:0002760" "positive regulation of humoral immune response" 0.693590358236457
-274 0.455996109306354 2 30 "GO:0002931" "response to ischemia" 0.825518667823287
336 0.547450273794745 6 13 "GO:0002946" "tRNA C5-cytosine methylation" 0.859970218081256
-34 0.750220147943215 2 381 "GO:0003002;GO:0007389" "pattern specification process" 0.935907569516251
428 0.0808822798202949 2 68 "GO:0003007;GO:0035050" "heart morphogenesis" 0.482151293050373
160 0.06560331988081 2 583 "GO:0003008;GO:0050877" "system process" 0.439305722693318
502 0.0185550413888755 3 90 "GO:0003012;GO:0006936" "muscle system process" 0.267775664216074
145 0.449268236519526 3 112 "GO:0003013;GO:0008015" "circulatory system process" 0.821485806568605
-266 0.375656600988926 3 45 "GO:0003014" "renal system process" 0.780737423374511
477 0.144972715440654 2 38 "GO:0003015;GO:0060047;GO:0060048" "heart process" 0.574280893904377
383 0.192646465576342 2 47 "GO:0003018" "vascular process in circulatory system" 0.629762922140043
