,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Montipora_capitata_HIv3___RNAseq.g1392.t1,20.6104591594534,7.76544784600308,1.35508637764999,5.73059250988119,1.00080427386047e-08,1.50153134724325e-06
Montipora_capitata_HIv3___RNAseq.g33991.t1,47.9324680389224,6.188932320891,1.08687185782739,5.69426126577827,1.23907224802696e-08,1.84701705101052e-06
Montipora_capitata_HIv3___RNAseq.g29822.t1,185.489574544168,-5.51665561507216,0.969272710862408,-5.69154124865821,1.25897732624482e-08,1.86465840531325e-06
Montipora_capitata_HIv3___TS.g41895.t1,30.7630256986517,-3.44960131408534,0.606593910687003,-5.68683802014838,1.29413096533369e-08,1.90451566586209e-06
Montipora_capitata_HIv3___RNAseq.g26580.t1,28.7267488993858,8.24341557902162,1.45161305879369,5.67879679029068,1.35645511040864e-08,1.98360096999947e-06
Montipora_capitata_HIv3___RNAseq.g21284.t1,46.5549999595605,-5.90420319805185,1.04018517841979,-5.67610779363466,1.37793967327944e-08,2.00234566988185e-06
Montipora_capitata_HIv3___TS.g12075.t1,47.3069441263752,4.08996708892607,0.721176973677888,5.67123915239264,1.41768331015829e-08,2.04722330507545e-06
Montipora_capitata_HIv3___RNAseq.g31229.t1,41.1476002438869,-2.80544311470108,0.49522805955454,-5.66495185516061,1.47065823183433e-08,2.11053158052995e-06
Montipora_capitata_HIv3___RNAseq.g8836.t1,111.551684097743,-1.65287375752799,0.292126074936345,-5.65808361300221,1.53072562193745e-08,2.18317379597931e-06
Montipora_capitata_HIv3___RNAseq.g33966.t1,249.920589246603,3.78284556121568,0.669163123766774,5.65309926213767,1.57580240783831e-08,2.22005577031123e-06
Montipora_capitata_HIv3___RNAseq.g2640.t1a,68.127191006671,2.73735257016278,0.484144984999391,5.653993441998,1.56762194355504e-08,2.22005577031123e-06
Montipora_capitata_HIv3___RNAseq.g23752.t1,150.172145000846,6.73958656610669,1.19476675693454,5.6409224034645,1.69141580774825e-08,2.36849468109232e-06
Montipora_capitata_HIv3___RNAseq.g24511.t1,126.599289594717,-1.95342638515822,0.346583846210088,-5.63623032786736,1.73812873613005e-08,2.41924484628222e-06
Montipora_capitata_HIv3___RNAseq.g23657.t1,31.1736769829281,-8.47789267151437,1.50481991492246,-5.63382540823911,1.7625546289297e-08,2.43855237733058e-06
Montipora_capitata_HIv3___RNAseq.g32219.t1,32.3070667027782,-6.68085909898966,1.18709981511391,-5.62788319392384,1.82434554298685e-08,2.49832548952732e-06
Montipora_capitata_HIv3___RNAseq.g3246.t1,137.08191475894,-4.14377720934422,0.736331667037708,-5.62759608861425,1.82738371664193e-08,2.49832548952732e-06
Montipora_capitata_HIv3___RNAseq.g8869.t1,24.1457523891855,-8.10987403220545,1.44452249308556,-5.61422481894514,1.97445369005667e-08,2.68351485345644e-06
Montipora_capitata_HIv3___RNAseq.g50386.t1,22.5271241733843,-8.00164621894138,1.42573087882824,-5.61231178882627,1.99641301668093e-08,2.69749255850368e-06
