"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Montipora_capitata_HIv3___RNAseq.g44775.t1",391.742125056698,-3.01586275872857,0.704688045928803,-4.27971323786763,1.87134269755765e-05,0.00396353914177989
"Montipora_capitata_HIv3___TS.g2560.t1",1798.4683762682,0.604749896851412,0.141398843100735,4.27690837909174,1.89506750641871e-05,0.00397627669033706
"Montipora_capitata_HIv3___RNAseq.g6531.t1",47.0783601508083,4.05474047055889,0.950195712761577,4.26726874906066,1.97880721509834e-05,0.00411353710983082
"Montipora_capitata_HIv3___TS.g44870.t1",271.06677682746,1.72563288172226,0.406574418701611,4.24432232414681,2.19255009863973e-05,0.00451604974904226
"Montipora_capitata_HIv3___RNAseq.g22747.t1",980.436751112349,0.542041442785442,0.12813930587143,4.23009504460174,2.33592596166803e-05,0.00476762488776445
"Montipora_capitata_HIv3___TS.g37848.t1",18.5788957508052,4.89899028781687,1.16100657961104,4.21960596421264,2.44729676586575e-05,0.00494993330544613
"Montipora_capitata_HIv3___RNAseq.g3053.t1",485.987131512836,-2.09227319220707,0.496550904914939,-4.21361268602559,2.51318109820409e-05,0.00503780614605178
"Montipora_capitata_HIv3___TS.g4186.t1",303.570543624968,1.6699757483832,0.396708709037098,4.20957672554407,2.55849549536981e-05,0.00508325507668564
"Montipora_capitata_HIv3___RNAseq.g15327.t1",16.1254728064034,4.80797892524924,1.14359854311698,4.20425415386124,2.61944475142285e-05,0.00515869772931529
"Montipora_capitata_HIv3___RNAseq.g12989.t1",728.883735403179,1.58776974151524,0.378384395397672,4.19618187437814,2.71452293314737e-05,0.005299456901921
"Montipora_capitata_HIv3___RNAseq.g50729.t2",23.9984428965363,-5.39738840979518,1.29488187413945,-4.16824771246579,3.06950252435319e-05,0.00594081044605634
"Montipora_capitata_HIv3___RNAseq.g29625.t1b",11.7367178236488,7.18049095342378,1.72496761103045,4.16268161066187,3.14531798587009e-05,0.00603551573510849
"Montipora_capitata_HIv3___TS.g45729.t1",3761.72426859691,0.868636878151735,0.209645728985282,4.14335594794166,3.42260089882811e-05,0.00651193328640593
"Montipora_capitata_HIv3___RNAseq.g47633.t1",263.442822360426,-1.28517438287627,0.311370841608155,-4.12747184752001,3.667733172833e-05,0.00691968718178771
"Montipora_capitata_HIv3___RNAseq.g33277.t1",32.2159008402172,5.57524963160328,1.35206008297025,4.12352209922166,3.73122643176797e-05,0.0069808137183019
"Montipora_capitata_HIv3___RNAseq.g36521.t1",75.4556614039159,2.81539172362074,0.686539727157342,4.10084313005168,4.11647553305595e-05,0.00763793323906108
"Montipora_capitata_HIv3___RNAseq.g21374.t1",376.488472176112,1.14345992416128,0.279001308888455,4.09840344017323,4.16009717599189e-05,0.00765560177854049
"Montipora_capitata_HIv3___RNAseq.g28234.t1",19.9775840130251,3.35236500290419,0.818508065483482,4.09570185594199,4.20891312413438e-05,0.00768246410975129
"Montipora_capitata_HIv3___RNAseq.g21911.t1",419.135564015067,1.09124676434224,0.267171738368496,4.08443936101182,4.41833622686254e-05,0.00799968279268475
"Montipora_capitata_HIv3___RNAseq.g18598.t1",146.272078769979,-4.49772273988685,1.10358793656222,-4.07554540139109,4.59066241399027e-05,0.00824519694851965
"Montipora_capitata_HIv3___RNAseq.g33271.t1",140.969858310745,-1.69100688991778,0.415322987616083,-4.07154658022665,4.6702020641278e-05,0.00825596114501836
"Montipora_capitata_HIv3___RNAseq.g29808.t1",28.435703659951,2.55127711001063,0.62638238442268,4.07303457673394,4.64045320265733e-05,0.00825596114501836
"Montipora_capitata_HIv3___RNAseq.g34949.t1",92.3651566075962,-1.82076145008376,0.447858163052957,-4.06548679982074,4.79323073723244e-05,0.00827815876277111
"Montipora_capitata_HIv3___TS.g14500.t1",20.8687125057956,3.71012445390925,0.912414581434036,4.06627045358928,4.77714935808007e-05,0.00827815876277111
"Montipora_capitata_HIv3___RNAseq.g33912.t1",1358.45660467882,0.763543600741574,0.187811437414641,4.06547977722921,4.79337507977482e-05,0.00827815876277111
