"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-567 0.525293141075488 -1 5 "GO:0005072" "obsolete transforming growth factor beta receptor, cytoplasmic mediator activity" 0.807541053043157
-893 0.273223036734835 3 6 "GO:0005078" "MAP-kinase scaffold activity" 0.676620511000958
-67 0.829194490438016 6 41 "GO:0005080" "protein kinase C binding" 0.95131831833486
517 0.0011191940870607 5 162 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.0415184903264453
-372 0.622428807032949 4 7 "GO:0005092" "GDP-dissociation inhibitor activity" 0.848766996136416
-1155 0.101906346790496 2 8 "GO:0005095" "GTPase inhibitor activity" 0.449012639115212
610 0.000822409490868827 4 122 "GO:0005096" "GTPase activator activity" 0.0363758044038135
148 0.0649185845554737 3 690 "GO:0005102" "signaling receptor binding" 0.367211411475615
610 0.334393884127154 2 10 "GO:0005104" "fibroblast growth factor receptor binding" 0.717702645098127
429 0.204956284775869 2 35 "GO:0005109" "frizzled binding" 0.602812602281968
-33 0.932661694178561 2 26 "GO:0005112" "Notch binding" 0.986716603776767
1370 0.0694981294220686 4 7 "GO:0005113" "patched binding" 0.377318652078052
1204 0.177709556686861 2 5 "GO:0005119" "smoothened binding" 0.577305057033588
1959 0.00326921516879538 2 9 "GO:0005123" "death receptor binding" 0.0783249467523893
370 0.396895955922813 2 21 "GO:0005125" "cytokine activity" 0.74991086915414
369 0.100561303739788 4 80 "GO:0005126" "cytokine receptor binding" 0.447284384722914
-479 0.20479793723297 5 28 "GO:0005154" "epidermal growth factor receptor binding" 0.602812602281968
-940 0.0311209811130248 4 21 "GO:0005158" "insulin receptor binding" 0.28404070063475
660 0.418490536797927 4 6 "GO:0005159" "insulin-like growth factor receptor binding" 0.757896247744277
15 0.972097686077413 2 21 "GO:0005160" "transforming growth factor beta receptor binding" 0.997852086372187
136 0.856965603650563 5 7 "GO:0005161" "platelet-derived growth factor receptor binding" 0.957736097374293
-526 0.518818392181106 3 6 "GO:0005165;GO:0005167;GO:0005168" "neurotrophin TRK receptor binding" 0.807273921581586
-368 0.626048197768821 3 7 "GO:0005172;GO:0043184" "vascular endothelial growth factor receptor 2 binding" 0.849004041785547
212 0.366843921361187 2 73 "GO:0005178" "integrin binding" 0.730425286957992
